MODEL|hız|çözünürlük|ısınma|ilk_çıkış|kağıt_standart|kağıt_maks|gramaj|boyut|ağırlık|bellek|aylık_hacim|bağlantı|ekran
ECOSYS M3645idn|45 ppm (A4)|1200x1200 dpi|21 sn|5.9 sn (baskı)|600 sayfa (500+100)|2.600 sayfa|60-120 g/m² (kaset), 60-220 g/m² (MPT)|475x476x575 mm|22.5 kg|1 GB (maks 3 GB + 128 GB SSD)|150.000 sayfa|USB 2.0, Gigabit Ethernet, ops. Wi-Fi|7 inç renkli dokunmatik
ECOSYS M3145idn|45 ppm (A4)|1200x1200 dpi|21 sn|5.9 sn (baskı)|600 sayfa (500+100)|2.600 sayfa|60-120 g/m² (kaset), 60-220 g/m² (MPT)|475x476x575 mm|22.5 kg|1 GB (maks 3 GB + 128 GB SSD)|150.000 sayfa|USB 2.0, Gigabit Ethernet|5 satır LCD
ECOSYS M2640idw|40 ppm (A4)|1200x1200 dpi|20 sn|6.4 sn (baskı)|350 sayfa (250+100)|850 sayfa|60-163 g/m² (kaset), 60-220 g/m² (MPT)|417x412x437 mm|19 kg|512 MB (maks 1.536 MB)|-|USB 2.0, Gigabit Ethernet, Wi-Fi|4.3 inç renkli dokunmatik
ECOSYS M2735dw|35 ppm (A4)|1200x1200 dpi|20 sn|6.8 sn (baskı)|350 sayfa (250+100)|850 sayfa|60-163 g/m² (kaset), 60-220 g/m² (MPT)|417x412x437 mm|19 kg|512 MB (maks 1.536 MB)|-|USB 2.0, Ethernet, Wi-Fi|4.3 inç renkli dokunmatik
ECOSYS M3860idnf|60 ppm (A4)|1200x1200 dpi|25 sn|4.5 sn (baskı)|600 sayfa (500+100)|2.600 sayfa|60-120 g/m² (kaset), 60-220 g/m² (MPT)|480x495x744 mm|36.5 kg|1 GB (maks 3 GB + 128 GB SSD + 320 GB HDD)|-|USB 2.0, Gigabit Ethernet|7 inç renkli dokunmatik
ECOSYS M5526cdn|26 ppm (A4, S/B ve Renkli)|1200x1200 dpi|29 sn|9.5/10.5 sn (S/B/Renkli)|300 sayfa (250+50)|550 sayfa|60-163 g/m² (kaset), 60-220 g/m² (MPT)|417x429x495 mm|26 kg|512 MB (maks 1.536 MB)|50.000 sayfa|USB 2.0, Gigabit Ethernet|4.3 inç renkli dokunmatik
ECOSYS M5526cdw|26 ppm (A4, S/B ve Renkli)|1200x1200 dpi|29 sn|9.5/10.5 sn (S/B/Renkli)|300 sayfa (250+50)|550 sayfa|60-163 g/m² (kaset), 60-220 g/m² (MPT)|417x429x495 mm|26 kg|512 MB (maks 1.536 MB)|50.000 sayfa|USB 2.0, Gigabit Ethernet, Wi-Fi|4.3 inç renkli dokunmatik
ECOSYS M6230cidn|30 ppm (A4, S/B ve Renkli)|1200x1200 dpi|26 sn|6.5/7.5 sn (S/B/Renkli)|600 sayfa (500+100)|-|60-163 g/m² (kaset), 60-220 g/m² (MPT)|475x558x616 mm|35.4 kg|1.024 MB (maks 3.072 MB + 128 GB SSD)|100.000 sayfa|USB 2.0, Gigabit Ethernet, ops. Wi-Fi|7 inç renkli dokunmatik
TASKalfa 308ci|30 ppm (A4, S/B ve Renkli)|1200x1200 dpi|20 sn|7/8 sn (S/B/Renkli)|600 sayfa (500+100)|3.100 sayfa|60-220 g/m² (kaset), 60-220 g/m² (MPT)|550x507.5x736.6 mm|49.6 kg|1 GB (maks 3 GB + 32/128 GB SSD)|-|USB 2.0 Host, Gigabit Ethernet, ops. Wi-Fi|7 inç renkli dokunmatik
TASKalfa 352ci|35 ppm (A4, S/B ve Renkli)|1200x1200 dpi|-|6/7.5 sn (S/B/Renkli)|350 sayfa (250+100)|1.850 sayfa|60-163 g/m² (kaset), 60-220 g/m² (MPT)|480x577x619.5 mm|-|1 GB (maks 3 GB + 128 GB SSD)|-|USB 2.0, Gigabit Ethernet, ops. Wi-Fi|7 inç renkli dokunmatik
TASKalfa 6004i|60 ppm (A4) / 30 ppm (A3)|4800x1200 dpi eşdeğeri|-|3.8 sn (baskı)|1.150 sayfa (2x500+150)|7.150 sayfa|52-300 g/m² (kaset), 52-300 g/m² (MPT)|602x665x790 mm|83 kg|4 GB + 64 GB SSD (ops. 320 GB/1 TB HDD)|-|USB 3.0, Gigabit Ethernet, ops. Wi-Fi|10.1 inç renkli dokunmatik
TASKalfa 4004i|40 ppm (A4) / 20 ppm (A3)|1200x1200 dpi|17 sn|5.1 sn (baskı)|1.150 sayfa (2x500+150)|7.150 sayfa|60-256 g/m² (dubleks)|-|-|4 GB + 32 GB SSD + 320 GB HDD|175.000 sayfa|USB 3.0, Gigabit Ethernet, Wi-Fi (standart)|10.1 inç renkli dokunmatik
TASKalfa 3212i|32 ppm (A4) / 17 ppm (A3)|1200x1200 dpi|18 sn|4.9 sn (baskı)|1.100 sayfa (2x500+100)|4.100 sayfa|60-163 g/m² (kaset), 45-256 g/m² (MPT)|594x696x683 mm|59 kg|2 GB + 32 GB SSD (ops. 320 GB HDD)|-|USB 2.0, Gigabit Ethernet|9 inç renkli dokunmatik
TASKalfa 2553ci|25 ppm (A4) / 12 ppm (A3)|4800x1200 dpi eşdeğeri|18 sn|7/9.2 sn (S/B/Renkli)|1.150 sayfa (2x500+150)|7.150 sayfa|52-300 g/m² (kaset), 52-300 g/m² (MPT)|602x665x790 mm|90 kg|4 GB + 32 GB SSD (ops. 320 GB HDD)|-|USB 2.0, Gigabit Ethernet, ops. Wi-Fi|10.1 inç renkli dokunmatik
TASKalfa 5054ci|50 ppm (A4) / 25 ppm (A3)|4800x1200 dpi eşdeğeri|-|4.3/5.4 sn (S/B/Renkli)|1.150 sayfa (2x500+150)|7.150 sayfa|52-300 g/m² (kaset), 52-300 g/m² (MPT)|602x665x790 mm|95 kg|4 GB + 64 GB SSD (ops. 320 GB/1 TB HDD)|-|USB 3.0, Gigabit Ethernet, ops. Wi-Fi|10.1 inç renkli dokunmatik
ECOSYS PA4500x|45 ppm (A4)|1200x1200 dpi|16 sn|5.3 sn (baskı)|600 sayfa (500+100)|2.600 sayfa|60-120 g/m² (kaset), 60-220 g/m² (MPT)|390x416x308 mm|14.6 kg|512 MB (maks 2.5 GB)|300.000 sayfa|USB 2.0, Gigabit Ethernet, ops. Wi-Fi|21 karakter 5 satır LCD
ECOSYS PA2000|20 ppm (A4)|1200x1200 dpi (1800x600)|20 sn|8 sn (baskı)|150 sayfa|150 sayfa|65-105 g/m²|350x233x177 mm|4.5 kg|16 MB|8.000 sayfa|USB 2.0|Yok (LED göstergeler)
ECOSYS PA6000x|60 ppm (A4)|1200x1200 dpi|25 sn|4.5 sn (baskı)|600 sayfa (500+100)|2.600 sayfa|60-120 g/m² (kaset), 60-220 g/m² (MPT)|410x416x363 mm|16.2 kg|512 MB (maks 2.5 GB)|300.000 sayfa|USB 2.0, Gigabit Ethernet, ops. Wi-Fi|21 karakter 5 satır LCD
